0	1	date	formato
-100.8380919	20.5365695	2002-08-01	TIENDA COPPEL
-101.4398593	26.9006086	2002-09-01	TIENDA COPPEL
-109.9453356	27.5011503	2013-11-07	TIENDA COPPEL
-97.5070355	25.8523747	2002-11-01	TIENDA COPPEL
-99.1848435	19.481773	2003-12-01	TIENDA COPPEL
-99.210232	19.3989658	2002-10-01	TIENDA COPPEL
-94.4129055	18.1449467	2003-05-01	TIENDA COPPEL
-99.2294852	18.9233032	2002-12-01	TIENDA COPPEL
-98.9790981	19.3554819	2002-12-01	TIENDA COPPEL
-96.1350957	19.189689	2003-04-01	TIENDA COPPEL
-104.6703975	24.0230219	2003-04-01	TIENDA COPPEL
-99.2238855	19.6695593	2003-12-01	TIENDA COPPEL
-99.1708993	19.6469914	2003-04-01	TIENDA COPPEL
-103.3414101	20.617111	2003-04-01	TIENDA COPPEL
-103.2667988	20.6310104	2002-10-01	TIENDA COPPEL
-96.1732072	19.2147256	2002-11-01	TIENDA COPPEL
-99.9044584	16.8576739	2003-06-01	TIENDA COPPEL
-117.0303072	32.5325191	2002-11-01	TIENDA COPPEL
-101.6595318	21.1332238	2002-12-01	TIENDA COPPEL
-116.9336813	32.5353671	2002-11-01	TIENDA COPPEL
-106.1291322	28.6589247	2003-04-01	TIENDA COPPEL
-108.4577911	25.5814617	2013-08-29	TIENDA COPPEL
-99.143777	19.5264908	2003-07-01	TIENDA COPPEL
-107.3609601	24.3238063	2003-05-01	TIENDA COPPEL
-92.9720198	17.9579256	2003-05-01	TIENDA COPPEL
-99.2084286	19.6480767	2003-11-01	TIENDA COPPEL
-100.2874007	25.6442606	2003-07-01	TIENDA COPPEL
-99.0935692	19.6329012	2003-09-01	TIENDA COPPEL
-99.0861716	19.6296405	2003-09-01	TIENDA COPPEL
-92.9186434	18.010358	2013-09-26	TIENDA COPPEL
-99.1936469	19.5378822	2003-09-01	TIENDA COPPEL
-99.1875565	19.4592711	2003-12-01	TIENDA COPPEL
-98.7740821	20.0798942	2004-08-01	TIENDA COPPEL
-98.4337627	19.2818187	2003-07-01	TIENDA COPPEL
-89.6227021	20.9921007	2003-06-01	TIENDA COPPEL
